canto_superior_esquerdo,canto_superior_centro,canto_superior_direito,meio_esquerdo,meio_centro,meio_direito,canto_inferior_esquerdo,canto_inferior_centro,canto_inferior_direito,target_num
1,-1,-1,1,1,-1,1,-1,1,3
1,-1,1,-1,1,1,-1,1,-1,3
1,1,-1,-1,-1,1,1,1,-1,3
1,1,-1,-1,-1,1,1,-1,1,3
-1,1,-1,-1,1,1,1,1,-1,3
1,-1,-1,-1,-1,1,1,1,1,3
-1,1,1,-1,-1,1,1,-1,1,3
1,-1,-1,1,1,1,-1,-1,1,3
1,-1,-1,1,1,-1,1,-1,1,3
1,1,-1,-1,-1,1,1,-1,1,3
-1,1,-1,-1,-1,1,1,1,1,3
0,1,0,0,0,-1,0,0,0,0
0,0,1,0,0,1,-1,0,0,0
0,0,0,0,0,1,0,-1,1,0
1,1,0,0,-1,-1,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,-1,1,0,0,0,0,0
0,0,0,-1,0,1,-1,0,1,0
-1,1,0,1,0,0,0,0,-1,0
0,1,0,0,0,0,0,0,0,0
1,1,0,-1,0,0,0,-1,1,0
-1,0,1,0,0,0,1,0,0,0
1,1,0,0,0,-1,0,-1,0,0
0,1,0,0,0,0,0,0,0,0
-1,0,0,0,0,1,0,1,0,0
1,1,1,-1,-1,0,0,-1,1,0
1,-1,1,1,0,0,-1,-1,0,0
0,0,0,0,1,0,0,0,-1,0
1,-1,0,-1,0,1,1,0,0,0
-1,0,0,1,0,-1,0,0,1,0
0,-1,0,0,1,0,0,0,0,0
1,0,1,-1,0,0,0,-1,0,0
1,0,0,0,-1,0,0,-1,1,0
1,0,0,-1,0,0,0,0,0,0
-1,1,-1,0,1,1,0,0,0,0
0,0,-1,1,0,1,0,-1,0,0
0,0,1,1,-1,0,-1,0,0,0
0,0,-1,1,0,1,-1,0,0,0
0,-1,-1,0,1,1,1,1,-1,0
1,-1,-1,0,1,1,0,1,-1,0
0,0,0,1,1,0,0,-1,-1,0
0,1,0,-1,-1,1,1,-1,1,0
0,0,-1,0,1,0,0,0,0,0
1,1,0,0,0,1,0,-1,-1,0
0,0,0,1,0,0,-1,0,0,0
1,0,0,0,0,-1,0,0,0,0
0,0,-1,1,1,0,0,-1,0,0
1,1,1,-1,0,0,-1,-1,0,0
0,0,0,0,1,0,0,0,0,0
0,0,1,0,-1,0,0,0,0,0
0,-1,0,0,1,-1,0,0,1,0
1,-1,-1,1,-1,0,1,0,1,0
1,-1,1,0,1,-1,1,0,-1,0
0,0,0,1,-1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
-1,0,1,0,1,1,-1,1,-1,0
1,-1,1,-1,0,1,0,0,0,0
1,0,1,0,0,-1,-1,0,0,0
0,-1,0,0,0,0,0,0,1,0
0,1,1,1,-1,0,0,-1,0,0
1,-1,1,-1,1,0,0,0,-1,0
0,0,0,0,0,1,0,0,0,0
-1,0,0,0,1,1,1,-1,-1,0
0,1,1,-1,0,0,0,0,-1,0
1,1,0,0,0,0,0,-1,0,0
1,0,-1,0,0,0,-1,0,1,0
0,-1,0,1,-1,1,-1,1,1,0
0,0,0,0,0,1,0,0,0,0
0,0,-1,0,0,0,0,0,1,0
0,1,-1,-1,0,0,0,1,1,0
0,0,-1,0,1,0,0,1,-1,0
1,0,0,0,0,0,0,0,0,0
0,1,0,-1,1,0,1,-1,-1,0
0,-1,0,0,1,-1,0,1,0,0
-1,1,1,1,1,-1,0,0,-1,0
1,1,0,-1,0,0,-1,-1,1,0
1,-1,0,1,1,0,0,0,-1,0
-1,1,0,0,0,0,1,0,0,0
-1,0,1,0,0,1,0,0,-1,0
0,0,0,0,-1,1,0,0,0,0
1,0,0,1,0,-1,-1,-1,1,0
1,0,-1,1,1,0,0,0,-1,0
0,0,0,0,0,0,-1,1,0,0
-1,-1,1,0,0,1,1,0,-1,0
0,0,0,1,0,0,0,0,0,0
-1,0,1,1,0,1,-1,0,-1,0
0,0,0,0,1,0,0,-1,0,0
0,0,0,0,1,0,-1,0,0,0
0,0,-1,0,0,1,0,0,0,0
0,0,-1,-1,1,1,0,1,-1,0
0,0,1,0,0,0,0,-1,0,0
-1,1,0,1,0,-1,1,0,0,0
1,-1,0,0,0,-1,1,1,-1,0
1,0,-1,1,0,0,-1,-1,1,0
0,0,1,1,1,-1,-1,0,-1,0
0,0,0,0,1,0,0,0,0,0
1,-1,0,0,0,0,0,-1,1,0
0,0,0,0,0,0,0,1,-1,0
0,0,0,-1,1,0,-1,1,0,0
1,0,1,-1,0,0,1,-1,-1,0
1,0,-1,0,1,1,-1,0,0,0
0,0,0,1,0,1,-1,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,-1,0,0,-1,0,1,0
-1,-1,1,0,-1,0,1,0,1,0
1,0,1,0,-1,-1,0,0,1,0
0,0,0,0,1,0,0,0,0,0
1,0,1,0,-1,-1,0,0,0,0
1,-1,0,1,0,0,0,0,0,0
-1,-1,0,1,0,1,0,-1,1,0
0,0,0,0,-1,0,1,0,0,0
0,0,0,0,0,1,0,0,-1,0
1,1,-1,-1,0,1,0,0,-1,0
-1,1,-1,0,0,0,-1,1,1,0
1,0,0,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0
0,1,0,-1,1,1,0,-1,-1,0
0,1,0,-1,1,0,0,0,0,0
-1,1,1,-1,0,0,1,-1,1,0
0,0,0,0,0,1,0,0,0,0
-1,-1,1,1,1,-1,0,0,1,0
0,0,0,0,0,1,0,0,0,0
-1,0,-1,-1,0,1,1,0,1,0
0,0,1,0,0,0,0,0,-1,0
0,0,0,-1,0,0,0,1,0,0
0,0,-1,0,-1,1,1,1,-1,0
-1,1,1,0,0,1,0,0,-1,0
-1,0,0,1,1,1,0,-1,-1,0
0,0,0,1,0,0,-1,1,0,0
1,-1,0,-1,0,1,1,-1,0,0
0,1,0,0,0,0,-1,0,0,0
0,-1,1,0,-1,0,1,0,0,0
0,-1,1,0,1,-1,-1,0,1,0
1,0,0,1,1,-1,-1,1,-1,0
1,0,0,0,0,0,0,0,0,0
0,-1,1,-1,1,-1,0,0,1,0
-1,0,1,1,1,-1,1,-1,0,0
0,0,0,0,0,0,1,0,0,0
0,1,0,-1,1,1,0,0,-1,0
1,-1,-1,0,0,0,0,0,1,0
0,1,0,0,0,-1,1,0,-1,0
0,-1,1,0,1,-1,0,1,-1,0
1,0,0,-1,1,0,1,-1,-1,0
1,0,0,0,0,1,-1,-1,0,0
1,0,0,0,0,0,0,0,0,0
-1,0,-1,0,0,1,1,1,0,0
1,-1,0,0,-1,0,-1,1,1,0
-1,1,-1,0,1,0,1,1,-1,0
1,0,0,1,1,0,0,-1,-1,0
0,-1,-1,0,0,1,1,1,0,0
1,1,-1,0,1,-1,0,-1,1,0
0,0,-1,0,0,0,0,1,0,0
0,-1,1,0,0,0,0,0,0,0
1,0,0,1,-1,1,1,-1,-1,0
0,1,0,0,-1,-1,1,0,1,0
0,1,1,-1,-1,0,1,0,-1,0
0,0,0,0,0,0,1,0,-1,0
0,-1,0,0,0,0,0,1,1,0
1,1,0,0,-1,0,-1,0,0,0
-1,0,-1,1,0,0,0,1,0,0
1,-1,0,0,1,-1,1,-1,1,0
-1,0,1,0,0,0,0,1,0,0
1,-1,0,1,1,0,-1,-1,0,0
-1,0,1,-1,0,1,0,-1,1,0
0,-1,0,-1,1,0,0,1,0,0
-1,0,1,-1,0,-1,1,1,1,0
0,0,0,0,0,-1,0,0,1,0
-1,1,-1,-1,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,1,0,1,-1,0
0,1,0,0,-1,0,0,0,0,0
1,-1,0,-1,1,1,-1,0,0,0
-1,0,-1,1,1,-1,0,1,1,0
1,0,0,0,0,0,1,0,-1,0
0,-1,0,0,1,0,1,-1,1,0
0,0,0,1,-1,0,0,0,1,0
1,1,1,0,0,-1,0,0,-1,0
0,0,-1,0,0,0,1,1,0,0
0,-1,0,0,1,0,0,0,0,0
0,1,-1,0,0,-1,0,0,1,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,-1,0,0
1,0,1,0,-1,0,1,-1,-1,0
0,0,0,-1,0,0,0,0,1,0
0,0,0,0,1,0,-1,0,1,0
1,1,0,0,0,0,0,0,-1,0
0,0,1,0,0,0,1,0,-1,0
1,-1,-1,-1,0,0,1,1,0,0
0,0,0,0,0,0,0,1,0,0
0,-1,-1,1,0,1,-1,1,0,0
0,0,0,1,0,0,1,-1,-1,0
0,-1,0,-1,-1,0,1,1,1,0
1,0,0,0,0,1,0,-1,-1,0
0,0,-1,0,1,0,0,-1,1,0
-1,0,1,1,0,-1,0,1,-1,0
-1,0,-1,-1,1,0,1,1,1,0
1,0,0,1,1,-1,-1,0,0,0
0,0,1,0,1,0,-1,0,0,0
-1,-1,0,0,0,0,0,1,1,0
-1,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0
0,1,1,0,0,-1,0,0,0,0
1,0,0,-1,1,1,-1,1,-1,0
1,-1,-1,1,0,1,0,0,-1,0
0,0,-1,1,1,0,1,-1,0,0
-1,1,0,1,1,-1,-1,1,0,0
0,0,-1,-1,0,0,1,1,0,0
-1,0,0,0,0,0,1,-1,1,0
0,1,0,-1,-1,0,0,1,0,0
